sample	AMULET	Scrublet
1000-4000	0.3399786840596809	0.6330312391688255
1000-4000	0.3122427300092274	0.6491769731619815
1000-4000	0.3414640655143285	0.5515127984598436
1000-4000	0.28527309566319314	0.6952604493800244
1000-4000	0.34354376785411267	0.6475049927446693
1000-4000	0.2994394494394495	0.6132117848603633
1000-4000	0.3145955032916755	0.6267745436892
1000-4000	0.33466062053790246	0.4818583111384079
1000-4000	0.28803576286264243	0.6261725979106935
1000-4000	0.2871333461278473	0.6075333713822738
4000-7000	0.6284009768217339	0.6273425872298419
4000-7000	0.6396608422121305	0.6385216162149918
4000-7000	0.6020065982399986	0.7364812623429488
4000-7000	0.5574943355051011	0.6489620534232236
4000-7000	0.5776138834343196	0.5739543892501131
4000-7000	0.5899948177352269	0.6109423844370726
4000-7000	0.5783318726842676	0.5874328031541599
4000-7000	0.5744723672520708	0.510560649016295
4000-7000	0.674741264013352	0.5316019158681431
4000-7000	0.5711267127933795	0.5740895381405766
7000-10000	0.8226226591801592	0.5256053533068157
7000-10000	0.8213591527135956	0.5738586949889033
7000-10000	0.8105037293283586	0.6069761565872019
7000-10000	0.8218431099543005	0.6546383357377592
7000-10000	0.8427817114707694	0.6237018649502192
7000-10000	0.7973821802209585	0.634570810678815
7000-10000	0.829137817044541	0.6772220546633926
7000-10000	0.834212066382249	0.5347825536156361
7000-10000	0.8518901962613848	0.586565075142952
7000-10000	0.7911430043983467	0.629220515140045
10000-13000	0.9310718315453885	0.6077471950215615
10000-13000	0.960223055706188	0.5552907431002252
10000-13000	0.9327299047427904	0.5144290454257456
10000-13000	0.9295508320857065	0.655833909004451
10000-13000	0.9255583378881156	0.5888685959219875
10000-13000	0.9346729229528045	0.5204409118553804
10000-13000	0.9476728219193464	0.5191811588509703
10000-13000	0.9674286794334035	0.5140375641294783
10000-13000	0.9613304306788687	0.6384452440821853
10000-13000	0.9414809857643232	0.5858336501052929
